method,seed,training_seed,step,train_loss,train_classification,train_invariance,train_budget_excess,validation_total,validation_classification,validation_invariance,validation_budget_excess,validation_uniform_reference,validation_worst_nuisance_auroc,validation_max_sms_budget_ratio,validation_sms_budget_satisfied
learned_uniform,2,2028,350,0.4983267945051193,0.4983267945051193,0.0,0.0,0.6470611095428467,0.6470611095428467,0.0,0.0,0.0,0.6528000235557556,0.0,1.0
learned_uniform,2,2028,375,0.5874175727367401,0.5874175727367401,0.0,0.0,0.6556828320026398,0.6556828320026398,0.0,0.0,0.0,0.646399974822998,0.0,1.0
learned_uniform,2,2028,400,0.4650080186128616,0.4650080186128616,0.0,0.0,0.6815106868743896,0.6815106868743896,0.0,0.0,0.0,0.5680000185966492,0.0,1.0
iera,2,2028,0,,,,,0.935591459274292,0.935591459274292,0.0,0.0,0.0,0.5023999810218811,0.0,1.0
iera,2,2028,25,0.7025612235069275,0.7025612235069275,0.0,0.0,0.6941421627998352,0.6941421627998352,0.0,0.0,0.0,0.590399980545044,0.0,1.0
iera,2,2028,50,0.6923380839824677,0.6923380839824677,0.0,0.0,0.6807940602302551,0.6807940602302551,0.0,0.0,0.0,0.5472000241279602,0.0,1.0
iera,2,2028,75,0.653772064447403,0.653772064447403,0.0,0.0,0.6728057265281677,0.6728057265281677,0.0,0.0,0.0,0.5727999806404114,0.0,1.0
iera,2,2028,100,0.5809369242191315,0.5809369242191315,0.0,0.0,0.6633144319057465,0.6633144319057465,0.0,0.0,0.0,0.5807999968528748,0.0,1.0
iera,2,2028,125,0.631398493051529,0.631398493051529,0.0,0.0,0.6384108662605286,0.6384108662605286,0.0,0.0,0.0,0.579200029373169,0.0,1.0
iera,2,2028,150,0.6368024754524231,0.6368024754524231,0.0,0.0,0.6654426455497742,0.6654426455497742,0.0,0.0,0.0,0.5935999751091003,0.0,1.0
iera,2,2028,175,0.6454994857311249,0.6454994857311249,0.0,0.0,0.6464930772781372,0.6464930772781372,0.0,0.0,0.0,0.6159999966621399,0.0,1.0
iera,2,2028,200,0.6155299699306488,0.6155299699306488,0.0,0.0,0.6282406747341156,0.6282406747341156,0.0,0.0,0.0,0.6480000019073486,0.0,1.0
iera,2,2028,225,0.581257677078247,0.581257677078247,0.0,0.0,0.7046368420124054,0.7046368420124054,0.0,0.0,0.0,0.5680000185966492,0.0,1.0
iera,2,2028,250,0.6150670099258423,0.6150670099258423,0.0,0.0,0.6938520073890686,0.6938520073890686,0.0,0.0,0.0,0.590399980545044,0.0,1.0
iera,2,2028,275,0.6675367987155915,0.6675367987155915,0.0,0.0,0.6374455094337463,0.6374455094337463,0.0,0.0,0.0,0.6783999800682068,0.0,1.0
iera,2,2028,300,0.6644726037979126,0.6644726037979126,0.0,0.0,0.75123330950737,0.75123330950737,0.0,0.0,0.0,0.6159999966621399,0.0,1.0
iera,2,2028,325,0.6161273372173309,0.6161273372173309,0.0,0.0,0.6588571071624756,0.6588571071624756,0.0,0.0,0.0,0.6448000073432922,0.0,1.0
anchored_iera,2,2028,0,,,,,1.3790209889411926,0.6277559101581573,2.6295183897018433,0.7512651085853577,2.6832189559936523,0.6431999802589417,1.4076753035793068,0.0
anchored_iera,2,2028,25,1.004995573759079,0.5589655792713165,1.624790446460247,0.44602998699992896,1.3782557845115662,0.6277211606502533,2.628787875175476,0.7505345940589905,2.6832189559936523,0.6431999802589417,1.407319134330497,0.0
anchored_iera,2,2028,50,1.1290713405609132,0.5950129199028015,1.9600826594233514,0.5340584176778793,1.377554178237915,0.6276894509792328,2.6281180381774902,0.7498647570610046,2.6832189559936523,0.6431999802589417,1.4069902742654135,0.0
anchored_iera,2,2028,75,1.0938884723186493,0.5514386469125747,1.9282909548981115,0.5424498343467712,1.3768008351325989,0.6276545226573944,2.6273995637893677,0.7491462826728821,2.6832189559936523,0.6431999802589417,1.406631374098231,0.0
anchored_iera,2,2028,100,0.9806468558311462,0.5666773843765259,1.5114879621565342,0.41396948002278805,1.376404881477356,0.6276327967643738,2.6270253658294678,0.7487720847129822,2.6832189559936523,0.6431999802589417,1.4064609072987602,0.0
anchored_iera,2,2028,125,0.8206107354164124,0.5159760409593582,1.2011589770019055,0.3046346868574619,1.3757699728012085,0.6276004910469055,2.6264227628707886,0.748169481754303,2.6832189559936523,0.6431999802589417,1.4061766043229145,0.0
anchored_iera,2,2028,150,1.0186427330970764,0.5495008146762848,1.7596465623378754,0.46914192140102384,1.3751074075698853,0.6275648474693298,2.625795841217041,0.7475425601005554,2.6832189559936523,0.6431999802589417,1.4058819526037618,0.0
anchored_iera,2,2028,175,0.8892943829298019,0.5083252853155136,1.2932528479397296,0.3809690936654806,1.374817132949829,0.6275515258312225,2.6255189180374146,0.747265636920929,2.6832189559936523,0.6431999802589417,1.4057544618355235,0.0
anchored_iera,2,2028,200,1.0821374869346618,0.5475734883546829,1.800645636692643,0.5345639985054731,1.3748388290405273,0.6275530457496643,2.6255390644073486,0.747285783290863,2.6832189559936523,0.6431999802589417,1.405761504730274,0.0
anchored_iera,2,2028,225,1.0091783475875855,0.47750453650951385,1.9482888256013393,0.5316738042235375,1.3743430972099304,0.6275249421596527,2.625071406364441,0.7468181252479553,2.6832189559936523,0.6431999802589417,1.4055446123184685,0.0
anchored_iera,2,2028,250,0.9179157871007919,0.5205460387468338,1.411961353160441,0.39736974716186524,1.3739773631095886,0.6274975538253784,2.624733090400696,0.7464798092842102,2.6832189559936523,0.6431999802589417,1.4053918246221468,0.0
anchored_iera,2,2028,275,1.0808872842788697,0.5125187242031097,2.1386575838923454,0.5683685612678527,1.3731901049613953,0.6274708211421967,2.623972535133362,0.7457192540168762,2.6832189559936523,0.6431999802589417,1.4050163952121826,0.0
anchored_iera,2,2028,300,1.0377500236034394,0.5448536205291749,1.7747111669182778,0.4928964152932167,1.3725590705871582,0.6274418234825134,2.6233705282211304,0.7451172471046448,2.6832189559936523,0.6448000073432922,1.404723755748673,0.0
anchored_iera,2,2028,325,0.9411046981811524,0.506330839395523,1.6702264802157878,0.43477385856211187,1.371663749217987,0.6273917257785797,2.6225253343582153,0.7442720532417297,2.6832189559936523,0.6448000073432922,1.4043194360969773,0.0
anchored_iera,2,2028,350,1.0043490302562714,0.47122221350669863,1.876531671732664,0.5331268075853586,1.3712239265441895,0.6273635923862457,2.622113585472107,0.7438603043556213,2.6832189559936523,0.6448000073432922,1.4041215163812342,0.0
anchored_iera,2,2028,375,1.0194726872444153,0.5776297104358673,1.6239745068550109,0.44184297502040865,1.3708767294883728,0.6273479461669922,2.621782064437866,0.7435287833213806,2.6832189559936523,0.6448000073432922,1.4039641292434428,0.0
anchored_iera,2,2028,400,0.7358094763755798,0.47069257736206055,1.0172258991329,0.26511689737439154,1.3704820275306702,0.6273320019245148,2.6214033365249634,0.7431500554084778,2.6832189559936523,0.6448000073432922,1.403783744898303,0.0
anchored_iera,2,2028,425,1.139618945121765,0.5743781268596649,1.955551850348711,0.5652408042550087,1.3701688051223755,0.6273193955421448,2.6211026906967163,0.7428494095802307,2.6832189559936523,0.6448000073432922,1.4036391499570995,0.0
anchored_iera,2,2028,450,0.9612766432762146,0.5475506377220154,1.6145399426668883,0.41372599706053736,1.3694301843643188,0.6272895932197571,2.6203938722610474,0.7421405911445618,2.6832189559936523,0.6448000073432922,1.4032908859983155,0.0
anchored_iera,2,2028,475,0.914829148054123,0.5380871021747589,1.5586095811799168,0.3767420542240143,1.368341326713562,0.6272647678852081,2.619329810142517,0.7410765290260315,2.6832189559936523,0.6448000073432922,1.4027626688920298,0.0
