pair,target,confounder,method,rho,shot,auroc,sms_fixed_reference,auroc_change,sms_reduction,pareto
Pneumothorax__Support Devices,Pneumothorax,Support Devices,full_iera,0.9,5,0.5388399958610535,0.8276032328605651,-0.002905005216598533,0.2495479844903422,False
Pneumothorax__Support Devices,Pneumothorax,Support Devices,full_iera,0.9,10,0.5627175092697143,0.8612302899360657,0.00428750514984122,0.2097246943275951,False
Edema__Cardiomegaly,Edema,Cardiomegaly,full_iera,0.9,1,0.617929995059967,0.6425155699253082,0.0022049903869628684,0.37556767838556326,False
Edema__Cardiomegaly,Edema,Cardiomegaly,full_iera,0.9,3,0.6364000082015991,0.7073147654533386,0.003725004196167059,0.3124686224874843,False
Edema__Cardiomegaly,Edema,Cardiomegaly,full_iera,0.9,5,0.6654299974441529,0.6952896237373352,-0.0019549965858458584,0.27481523648508943,False
Edema__Cardiomegaly,Edema,Cardiomegaly,full_iera,0.9,10,0.6918375015258789,0.6892982482910156,-0.004087507724761963,0.23998873518545583,False
Pneumothorax__Support Devices,Pneumothorax,Support Devices,full_iera,0.8,1,0.5168600022792816,0.5442897319793701,0.0037624955177307795,0.4994267755764932,False
Pneumothorax__Support Devices,Pneumothorax,Support Devices,full_iera,0.8,3,0.5371399879455566,0.6313483655452728,0.008284986019134521,0.4328683388960304,False
Pneumothorax__Support Devices,Pneumothorax,Support Devices,full_iera,0.8,5,0.5398275017738342,0.6596491158008575,-0.0019174993038177934,0.40184500395092004,False
Pneumothorax__Support Devices,Pneumothorax,Support Devices,full_iera,0.8,10,0.5588199973106385,0.6742442607879638,0.00038999319076538086,0.3813053308521829,False
Edema__Cardiomegaly,Edema,Cardiomegaly,full_iera,0.8,1,0.6212175011634826,0.5269245564937591,0.005492496490478449,0.4879054461430332,False
Edema__Cardiomegaly,Edema,Cardiomegaly,full_iera,0.8,3,0.6433149933815002,0.5776113331317901,0.010639989376068137,0.4385442875910972,False
Edema__Cardiomegaly,Edema,Cardiomegaly,full_iera,0.8,5,0.6731724977493286,0.5570541799068451,0.005787503719329901,0.41899434432902205,False
Edema__Cardiomegaly,Edema,Cardiomegaly,full_iera,0.8,10,0.7015200018882751,0.5472615122795105,0.0055949926376342995,0.396596589120779,False
Pneumothorax__Support Devices,Pneumothorax,Support Devices,full_iera,0.5,1,0.5197100043296814,0.32269449830055236,0.006612497568130538,0.7032238235863766,False
Pneumothorax__Support Devices,Pneumothorax,Support Devices,full_iera,0.5,3,0.5390549898147583,0.353067672252655,0.010199987888336204,0.6828441057674653,False
Pneumothorax__Support Devices,Pneumothorax,Support Devices,full_iera,0.5,5,0.5465375006198883,0.36782692074775697,0.0047924995422362615,0.6664628132495802,False
Pneumothorax__Support Devices,Pneumothorax,Support Devices,full_iera,0.5,10,0.5657950043678284,0.3695604562759399,0.007365000247955278,0.6608868661951233,False
