partition,cache,model,source_grid,retained_grid,shot,metric,n_seeds,binary_minus_positive_mean,ci95_low,ci95_high
test,biomedclip,hf-hub:microsoft/BiomedCLIP-PubMedBERT_256-vit_base_patch16_224,14,14,5,worst_nuisance_auroc,10,0.11773000061511993,0.07943994075761203,0.15602006047262784
test,biomedclip,hf-hub:microsoft/BiomedCLIP-PubMedBERT_256-vit_base_patch16_224,14,14,10,auroc,10,0.11541001200675964,0.0931114325917038,0.13770859142181546
test,biomedclip,hf-hub:microsoft/BiomedCLIP-PubMedBERT_256-vit_base_patch16_224,14,14,10,auprc,10,0.09707900285720825,0.0778738642832517,0.11628414143116479
test,biomedclip,hf-hub:microsoft/BiomedCLIP-PubMedBERT_256-vit_base_patch16_224,14,14,10,d0_auroc,10,0.1932399958372116,0.1724370338771966,0.2140429577972266
test,biomedclip,hf-hub:microsoft/BiomedCLIP-PubMedBERT_256-vit_base_patch16_224,14,14,10,d1_auroc,10,0.043050000071525575,0.0064743146916205335,0.07962568545143062
test,biomedclip,hf-hub:microsoft/BiomedCLIP-PubMedBERT_256-vit_base_patch16_224,14,14,10,worst_nuisance_auroc,10,0.12903999984264375,0.08705680602444138,0.17102319366084612
validate,biomedclip,hf-hub:microsoft/BiomedCLIP-PubMedBERT_256-vit_base_patch16_224,14,14,1,auroc,10,0.029579997062683105,0.016420152825608644,0.04273984129975757
validate,biomedclip,hf-hub:microsoft/BiomedCLIP-PubMedBERT_256-vit_base_patch16_224,14,14,1,auprc,10,0.02495427131652832,0.011153014119635625,0.03875552851342102
validate,biomedclip,hf-hub:microsoft/BiomedCLIP-PubMedBERT_256-vit_base_patch16_224,14,14,1,d0_auroc,10,0.0378199964761734,0.020103922730656247,0.055536070221690555
validate,biomedclip,hf-hub:microsoft/BiomedCLIP-PubMedBERT_256-vit_base_patch16_224,14,14,1,d1_auroc,10,0.023680007457733153,0.0029590651505912724,0.04440094976487503
validate,biomedclip,hf-hub:microsoft/BiomedCLIP-PubMedBERT_256-vit_base_patch16_224,14,14,1,worst_nuisance_auroc,10,0.031880003213882444,0.011385954762497298,0.05237405166526759
validate,biomedclip,hf-hub:microsoft/BiomedCLIP-PubMedBERT_256-vit_base_patch16_224,14,14,3,auroc,10,0.05367375016212463,0.0328496461692009,0.07449785415504837
validate,biomedclip,hf-hub:microsoft/BiomedCLIP-PubMedBERT_256-vit_base_patch16_224,14,14,3,auprc,10,0.042924174666404726,0.027918107552443738,0.05793024178036571
validate,biomedclip,hf-hub:microsoft/BiomedCLIP-PubMedBERT_256-vit_base_patch16_224,14,14,3,d0_auroc,10,0.060499995946884155,0.03600333756955105,0.08499665432421727
validate,biomedclip,hf-hub:microsoft/BiomedCLIP-PubMedBERT_256-vit_base_patch16_224,14,14,3,d1_auroc,10,0.0457800030708313,0.020635175001546324,0.07092483114011627
validate,biomedclip,hf-hub:microsoft/BiomedCLIP-PubMedBERT_256-vit_base_patch16_224,14,14,3,worst_nuisance_auroc,10,0.05582999587059021,0.028412624574307772,0.08324736716687264
validate,biomedclip,hf-hub:microsoft/BiomedCLIP-PubMedBERT_256-vit_base_patch16_224,14,14,5,auroc,10,0.05892874598503113,0.03453559609391729,0.08332189587614497
validate,biomedclip,hf-hub:microsoft/BiomedCLIP-PubMedBERT_256-vit_base_patch16_224,14,14,5,auprc,10,0.04292469620704651,0.017420382599918557,0.06842900981417446
validate,biomedclip,hf-hub:microsoft/BiomedCLIP-PubMedBERT_256-vit_base_patch16_224,14,14,5,d0_auroc,10,0.06234000623226166,0.03178897663620657,0.09289103582831675
validate,biomedclip,hf-hub:microsoft/BiomedCLIP-PubMedBERT_256-vit_base_patch16_224,14,14,5,d1_auroc,10,0.05714000165462494,0.021392923080490373,0.09288708022875951
validate,biomedclip,hf-hub:microsoft/BiomedCLIP-PubMedBERT_256-vit_base_patch16_224,14,14,5,worst_nuisance_auroc,10,0.05076000690460205,0.015615214938726328,0.08590479887047778
validate,biomedclip,hf-hub:microsoft/BiomedCLIP-PubMedBERT_256-vit_base_patch16_224,14,14,10,auroc,10,0.06763250529766082,0.043946821829174657,0.09131818876614699
