pair,target,confounder,method,rho,shot,seed,metric,value
Edema__Cardiomegaly,Edema,Cardiomegaly,adapter_only,0.7,1,0,ece,0.0618743859231472
Edema__Cardiomegaly,Edema,Cardiomegaly,adapter_only,0.7,1,0,sms_raw_logit,0.026060640811920166
Edema__Cardiomegaly,Edema,Cardiomegaly,adapter_only,0.7,1,0,sms_fixed_reference,0.6113759279251099
Edema__Cardiomegaly,Edema,Cardiomegaly,adapter_only,0.7,1,0,ranking_disagreement,0.4625939726829529
Edema__Cardiomegaly,Edema,Cardiomegaly,adapter_only,0.7,1,0,support_swap_flip_rate,0.20999999344348907
Edema__Cardiomegaly,Edema,Cardiomegaly,adapter_only,0.7,1,0,d0_auroc,0.63919997215271
Edema__Cardiomegaly,Edema,Cardiomegaly,adapter_only,0.7,1,0,d1_auroc,0.5874000191688538
Edema__Cardiomegaly,Edema,Cardiomegaly,adapter_only,0.7,1,0,worst_nuisance_auroc,0.5874000191688538
Edema__Cardiomegaly,Edema,Cardiomegaly,adapter_only,0.7,3,0,auroc,0.6343749761581421
Edema__Cardiomegaly,Edema,Cardiomegaly,adapter_only,0.7,3,0,auprc,0.5972833037376404
Edema__Cardiomegaly,Edema,Cardiomegaly,adapter_only,0.7,3,0,f1,0.6847826242446899
Edema__Cardiomegaly,Edema,Cardiomegaly,adapter_only,0.7,3,0,brier,0.2392100691795349
Edema__Cardiomegaly,Edema,Cardiomegaly,adapter_only,0.7,3,0,ece,0.06306787580251694
Edema__Cardiomegaly,Edema,Cardiomegaly,adapter_only,0.7,3,0,sms_raw_logit,0.01565246470272541
Edema__Cardiomegaly,Edema,Cardiomegaly,adapter_only,0.7,3,0,sms_fixed_reference,0.6686559319496155
Edema__Cardiomegaly,Edema,Cardiomegaly,adapter_only,0.7,3,0,ranking_disagreement,0.4716792106628418
Edema__Cardiomegaly,Edema,Cardiomegaly,adapter_only,0.7,3,0,support_swap_flip_rate,0.2574999928474426
Edema__Cardiomegaly,Edema,Cardiomegaly,adapter_only,0.7,3,0,d0_auroc,0.6395999789237976
Edema__Cardiomegaly,Edema,Cardiomegaly,adapter_only,0.7,3,0,d1_auroc,0.633899986743927
Edema__Cardiomegaly,Edema,Cardiomegaly,adapter_only,0.7,3,0,worst_nuisance_auroc,0.633899986743927
Edema__Cardiomegaly,Edema,Cardiomegaly,adapter_only,0.7,5,0,auroc,0.6642000079154968
Edema__Cardiomegaly,Edema,Cardiomegaly,adapter_only,0.7,5,0,auprc,0.6189614534378052
Edema__Cardiomegaly,Edema,Cardiomegaly,adapter_only,0.7,5,0,f1,0.7020872831344604
Edema__Cardiomegaly,Edema,Cardiomegaly,adapter_only,0.7,5,0,brier,0.2328895628452301
Edema__Cardiomegaly,Edema,Cardiomegaly,adapter_only,0.7,5,0,ece,0.062218423932790756
Edema__Cardiomegaly,Edema,Cardiomegaly,adapter_only,0.7,5,0,sms_raw_logit,0.012637109495699406
Edema__Cardiomegaly,Edema,Cardiomegaly,adapter_only,0.7,5,0,sms_fixed_reference,0.6770743131637573
Edema__Cardiomegaly,Edema,Cardiomegaly,adapter_only,0.7,5,0,ranking_disagreement,0.41946640610694885
Edema__Cardiomegaly,Edema,Cardiomegaly,adapter_only,0.7,5,0,support_swap_flip_rate,0.24500000476837158
Edema__Cardiomegaly,Edema,Cardiomegaly,adapter_only,0.7,5,0,d0_auroc,0.6575999855995178
Edema__Cardiomegaly,Edema,Cardiomegaly,adapter_only,0.7,5,0,d1_auroc,0.6769999861717224
Edema__Cardiomegaly,Edema,Cardiomegaly,adapter_only,0.7,5,0,worst_nuisance_auroc,0.6575999855995178
Edema__Cardiomegaly,Edema,Cardiomegaly,adapter_only,0.7,10,0,auroc,0.6902999877929688
Edema__Cardiomegaly,Edema,Cardiomegaly,adapter_only,0.7,10,0,auprc,0.649836540222168
Edema__Cardiomegaly,Edema,Cardiomegaly,adapter_only,0.7,10,0,f1,0.7001861929893494
Edema__Cardiomegaly,Edema,Cardiomegaly,adapter_only,0.7,10,0,brier,0.23095935583114624
Edema__Cardiomegaly,Edema,Cardiomegaly,adapter_only,0.7,10,0,ece,0.0733308270573616
Edema__Cardiomegaly,Edema,Cardiomegaly,adapter_only,0.7,10,0,sms_raw_logit,0.010122821666300297
Edema__Cardiomegaly,Edema,Cardiomegaly,adapter_only,0.7,10,0,sms_fixed_reference,0.6734022498130798
Edema__Cardiomegaly,Edema,Cardiomegaly,adapter_only,0.7,10,0,ranking_disagreement,0.39690476655960083
Edema__Cardiomegaly,Edema,Cardiomegaly,adapter_only,0.7,10,0,support_swap_flip_rate,0.2150000035762787
Edema__Cardiomegaly,Edema,Cardiomegaly,adapter_only,0.7,10,0,d0_auroc,0.697700023651123
Edema__Cardiomegaly,Edema,Cardiomegaly,adapter_only,0.7,10,0,d1_auroc,0.6873999834060669
Edema__Cardiomegaly,Edema,Cardiomegaly,adapter_only,0.7,10,0,worst_nuisance_auroc,0.6873999834060669
Pneumothorax__Support Devices,Pneumothorax,Support Devices,full_iera,0.7,1,0,auroc,0.526324987411499
Pneumothorax__Support Devices,Pneumothorax,Support Devices,full_iera,0.7,1,0,auprc,0.5136436820030212
Pneumothorax__Support Devices,Pneumothorax,Support Devices,full_iera,0.7,1,0,f1,0.6666666865348816
Pneumothorax__Support Devices,Pneumothorax,Support Devices,full_iera,0.7,1,0,brier,0.24969828128814697
Pneumothorax__Support Devices,Pneumothorax,Support Devices,full_iera,0.7,1,0,ece,0.0017255842685699463
Pneumothorax__Support Devices,Pneumothorax,Support Devices,full_iera,0.7,1,0,sms_raw_logit,0.015014460310339928
Pneumothorax__Support Devices,Pneumothorax,Support Devices,full_iera,0.7,1,0,sms_fixed_reference,0.3740878105163574
Pneumothorax__Support Devices,Pneumothorax,Support Devices,full_iera,0.7,1,0,ranking_disagreement,0.525839626789093
Pneumothorax__Support Devices,Pneumothorax,Support Devices,full_iera,0.7,1,0,support_swap_flip_rate,0.0
Pneumothorax__Support Devices,Pneumothorax,Support Devices,full_iera,0.7,1,0,d0_auroc,0.5318999886512756
Pneumothorax__Support Devices,Pneumothorax,Support Devices,full_iera,0.7,1,0,d1_auroc,0.5224000215530396
