pair,target,confounder,method,shot,metric,mean,std
Pneumothorax__Support Devices,Pneumothorax,Support Devices,iera,1,f1,0.6666666865348816,0.0
Pneumothorax__Support Devices,Pneumothorax,Support Devices,iera,1,brier,0.25077947676181794,0.0007100581232758252
Pneumothorax__Support Devices,Pneumothorax,Support Devices,iera,1,ece,0.023262443020939827,0.007749601515072069
Pneumothorax__Support Devices,Pneumothorax,Support Devices,iera,1,false_positive_c0d1,0.5181866526603699,0.00330892801238622
Pneumothorax__Support Devices,Pneumothorax,Support Devices,iera,1,sms_raw_logit,0.5911685705184937,0.054394601349798136
Pneumothorax__Support Devices,Pneumothorax,Support Devices,iera,1,sms_normalized_logit,0.9930482745170593,0.04293854791744108
Pneumothorax__Support Devices,Pneumothorax,Support Devices,iera,1,support_swap_flip_rate,0.2060000032186508,0.05727128576998744
Pneumothorax__Support Devices,Pneumothorax,Support Devices,iera,1,support_swap_error_gap,0.009999996423721314,0.008660258683567318
Pneumothorax__Support Devices,Pneumothorax,Support Devices,iera,1,worst_support_panel_error,0.5179999828338623,0.00974678504954153
Pneumothorax__Support Devices,Pneumothorax,Support Devices,iera,1,d0_auroc,0.5036800026893615,0.050636260796565136
Pneumothorax__Support Devices,Pneumothorax,Support Devices,iera,1,d0_auprc,0.5466859698295593,0.061101600618867956
Pneumothorax__Support Devices,Pneumothorax,Support Devices,iera,1,d1_auroc,0.47296000123023985,0.030885082926858272
Pneumothorax__Support Devices,Pneumothorax,Support Devices,iera,1,d1_auprc,0.4975551664829254,0.016507472996953796
Pneumothorax__Support Devices,Pneumothorax,Support Devices,iera,1,worst_nuisance_auroc,0.47096000909805297,0.03251904057000688
Pneumothorax__Support Devices,Pneumothorax,Support Devices,iera,1,worst_nuisance_auprc,0.49329415559768675,0.018900073696306703
Pneumothorax__Support Devices,Pneumothorax,Support Devices,iera,3,auroc,0.5081400036811828,0.025710751139845466
Pneumothorax__Support Devices,Pneumothorax,Support Devices,iera,3,auprc,0.5196667671203613,0.04705122509583631
Pneumothorax__Support Devices,Pneumothorax,Support Devices,iera,3,f1,0.6636704325675964,0.006699827548703041
Pneumothorax__Support Devices,Pneumothorax,Support Devices,iera,3,brier,0.25031442642211915,0.0006194785044562313
Pneumothorax__Support Devices,Pneumothorax,Support Devices,iera,3,ece,0.035648759081959726,0.024705074014315664
Pneumothorax__Support Devices,Pneumothorax,Support Devices,iera,3,false_positive_c0d1,0.5182287454605102,0.0036900134439206717
