pair,target,confounder,method,shot,seed,temperature,threshold,metric,value
Edema__Cardiomegaly,Edema,Cardiomegaly,positive_prototype,10,0,10.0,0.1,support_swap_error_gap,0.0
Edema__Cardiomegaly,Edema,Cardiomegaly,positive_prototype,10,0,10.0,0.1,worst_support_panel_error,0.5
Edema__Cardiomegaly,Edema,Cardiomegaly,positive_prototype,10,0,10.0,0.1,d0_auroc,0.7128000259399414
Edema__Cardiomegaly,Edema,Cardiomegaly,positive_prototype,10,0,10.0,0.1,d0_auprc,0.6404674053192139
Edema__Cardiomegaly,Edema,Cardiomegaly,positive_prototype,10,0,10.0,0.1,d1_auroc,0.5898000001907349
Edema__Cardiomegaly,Edema,Cardiomegaly,positive_prototype,10,0,10.0,0.1,d1_auprc,0.5401244163513184
Edema__Cardiomegaly,Edema,Cardiomegaly,positive_prototype,10,0,10.0,0.1,worst_nuisance_auroc,0.5898000001907349
Edema__Cardiomegaly,Edema,Cardiomegaly,positive_prototype,10,0,10.0,0.1,worst_nuisance_auprc,0.5401244163513184
Pneumothorax__Support Devices,Pneumothorax,Support Devices,iera,1,0,10.0,0.1,auroc,0.47540000081062317
Pneumothorax__Support Devices,Pneumothorax,Support Devices,iera,1,0,10.0,0.1,auprc,0.48661938309669495
Pneumothorax__Support Devices,Pneumothorax,Support Devices,iera,1,0,10.0,0.1,f1,0.6666666865348816
Pneumothorax__Support Devices,Pneumothorax,Support Devices,iera,1,0,10.0,0.1,brier,0.25131893157958984
Pneumothorax__Support Devices,Pneumothorax,Support Devices,iera,1,0,10.0,0.1,ece,0.01788714900612831
Pneumothorax__Support Devices,Pneumothorax,Support Devices,iera,1,0,10.0,0.1,false_positive_c0d1,0.5198770761489868
Pneumothorax__Support Devices,Pneumothorax,Support Devices,iera,1,0,10.0,0.1,sms_raw_logit,0.507819414138794
Pneumothorax__Support Devices,Pneumothorax,Support Devices,iera,1,0,10.0,0.1,sms_normalized_logit,0.9195590019226074
Pneumothorax__Support Devices,Pneumothorax,Support Devices,iera,1,0,10.0,0.1,support_swap_flip_rate,0.16500000655651093
Pneumothorax__Support Devices,Pneumothorax,Support Devices,iera,1,0,10.0,0.1,support_swap_error_gap,0.004999995231628418
